source,target
NK cell(Uterus),"epithelial cell of cervix:glandular cell of endometrium:stromal cell of endometrium:columnar cell of endocervix:|||:natural killer cell:decidual natural killer cell, human:Kolmer-Agduhr neuron:type G enteroendocrine cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:mucous neck cell:type N enteroendocrine cell:pro-NK cell:epithelial cell of uterus:|||:parafollicular cell:type D enteroendocrine cell:nodal myocyte:T cell"
NK cell_Gzma high(Peripheral_Blood),"vascular associated smooth muscle cell:mesodermal cell:|||:natural killer cell:pigmented ciliary epithelial cell:decidual natural killer cell, human:Kolmer-Agduhr neuron:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:peripheral blood stem cell:endothelial cell of high endothelial venule:inner cell mass cell:epidermal cell (sensu arthropoda):|||:M cell of gut:type D enteroendocrine cell:nodal myocyte:type G enteroendocrine cell"
Neuron(Brain),"neuron of the substantia nigra:neuronal stem cell:striatum neuron:neural cell:|||:neuron:Kolmer-Agduhr neuron:Rohon-Beard neuron:neuron of the forebrain:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:neuroblast (sensu Nematoda and Protostomia):neuroblast (sensu Vertebrata):neuroendocrine cell:glial cell:|||:type I pneumocyte:basophil progenitor cell:non-pigmented ciliary epithelial cell:type I enteroendocrine cell"
Neuron(Neonatal-Calvaria),"calvarial osteoblast:|||:neuron:Kolmer-Agduhr neuron:Rohon-Beard neuron:non-pigmented ciliary epithelial cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:fetal cardiomyocyte:neuron neural crest derived:CNS neuron (sensu Nematoda and Protostomia):interdental cell of cochlea:|||:type I pneumocyte:endothelial cell of lymphatic vessel:type II pneumocyte:pericyte cell"
Neuron(Neonatal-Muscle),"cell of skeletal muscle:adaxial cell:|||:neuron:Kolmer-Agduhr neuron:Rohon-Beard neuron:skeletal muscle myoblast:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:neuronal brush cell:neuronal stem cell:neurecto-epithelial cell:intermediate muscle cell:|||:mesenchymal stem cell:enterochromaffin-like cell:endothelial cell of lymphatic vessel:hematopoietic stem cell"
Neuron(Neonatal-Skin),"neuromast hair cell:neuromast mantle cell:neuromast support cell:keratinocyte:|||:neuron:Kolmer-Agduhr neuron:Rohon-Beard neuron:motor neuron:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:CNS neuron (sensu Vertebrata):neuron of the ventral spinal cord:neuron of the forebrain:neuron neural crest derived:|||:oligodendrocyte:type I pneumocyte:type II pneumocyte:non-pigmented ciliary epithelial cell"
Neuron_Mpz high(Neonatal-Rib),"adaxial cell:|||:neuron:Rohon-Beard neuron:Kolmer-Agduhr neuron:erythrocyte:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:neutrophilic myeloblast:CNS neuron (sensu Vertebrata):neuronal receptor cell:neutrophil progenitor cell:|||:macrophage dendritic cell progenitor:hematopoietic multipotent progenitor cell:megakaryocyte progenitor cell:type I pneumocyte"
Neuron_Stmn2 high(Neonatal-Rib),"adaxial cell:|||:neuron:Rohon-Beard neuron:Kolmer-Agduhr neuron:neuroblast (sensu Nematoda and Protostomia):|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:neuroblast (sensu Vertebrata):neuronal stem cell:neuroglioblast (sensu Nematoda):neuromast hair cell:|||:type II pneumocyte:type I pneumocyte:non-pigmented ciliary epithelial cell:neutrophil"
Neutrophil granulocyte(Lung),"pneumocyte:epithelial cell of lung:mesothelial cell of visceral pleura:mesodermal cell:|||:neutrophil:granulocyte:group 2 innate lymphoid cell:group 2 innate lymphoid cell, mouse:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:neutrophilic promyelocyte:neutrophilic myeloblast:eosinophil:neutrophilic myelocyte:|||:neuron:oocyte:retinal ganglion cell:hyalocyte"
Neutrophil progenitor(Bone-Marrow),"leukocyte:mesodermal cell:bone cell:|||:neutrophil:band form neutrophil:neutrophil progenitor cell:neuron:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:eosinophil progenitor cell:neutrophilic promyelocyte:basophil progenitor cell:common myeloid progenitor, CD34-positive:|||:oncocyte:pro-B cell:bone marrow cell:megakaryocyte-erythroid progenitor cell"
Neutrophil progenitor_S100a8 high(Kidney),"macula densa epithelial cell:kidney outer medulla interstitial cell:extraglomerular mesangial cell:kidney pelvis urothelial cell:|||:neutrophil:neuron:neutrophil progenitor cell:band form neutrophil:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:eosinophil progenitor cell:neutrophilic promyelocyte:erythroid progenitor cell:basophil progenitor cell:|||:oncocyte:megakaryocyte-erythroid progenitor cell:CD4-negative CD8-negative gamma-delta intraepithelial T cell:alpha-beta intraepithelial T cell"
Neutrophil(Neonatal-Calvaria),"calvarial osteoblast:|||:neutrophil:neuron:band form neutrophil:oncocyte:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:neutrophilic metamyelocyte:neutrophil progenitor cell:neutrophillic cytoplasm:neutrophilic myeloblast:|||:pericyte cell:CD4-positive, alpha-beta intraepithelial T cell:glial cell:CD8-alpha-beta-positive, alpha-beta intraepithelial T cell"
Neutrophil(Neonatal-Rib),"adaxial cell:|||:neutrophil:band form neutrophil:neuron:Rohon-Beard neuron:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:neutrophilic myeloblast:neutrophilic myelocyte:neutrophil progenitor cell:neutrophilic metamyelocyte:|||:oncocyte:CD4-negative CD8-negative gamma-delta intraepithelial T cell:early T lineage precursor:alpha-beta intraepithelial T cell"
Neutrophil(Neonatal-Skin),"epithelial cell of skin gland:neuromast hair cell:neuromast mantle cell:neuromast support cell:|||:neutrophil:band form neutrophil:neuron:oncocyte:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:neutrophilic myeloblast:neutrophil progenitor cell:neutrophilic myelocyte:neutrophilic metamyelocyte:|||:CD4-negative CD8-negative gamma-delta intraepithelial T cell:type I pneumocyte:non-pigmented ciliary epithelial cell:CD4-positive, alpha-beta intraepithelial T cell"
Neutrophil(Spleen),"splenic metallophillic macrophage:mesodermal cell:splenic marginal zone macrophage:marginal zone B cell:|||:neutrophil:neuron:band form neutrophil:oncocyte:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:neutrophil progenitor cell:neutrophilic promyelocyte:neutrophilic myelocyte:neutrophillic cytoplasm:|||:neutrophilic metamyelocyte:immature neutrophil:alpha-beta intraepithelial T cell:intraepithelial lymphocyte"
Neutrophil_Camp high(Muscle),"cell of skeletal muscle:adaxial cell:|||:neutrophil:neuron:band form neutrophil:Kolmer-Agduhr neuron:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:neutrophilic myelocyte:neutrophil progenitor cell:neutrophilic promyelocyte:neutrophilic myeloblast:|||:group 3 innate lymphoid cell:ILC1:group 2 innate lymphoid cell:mesenchymal stem cell"
Neutrophil_Camp high(Peripheral_Blood),"vascular associated smooth muscle cell:mesodermal cell:|||:neutrophil:pigmented ciliary epithelial cell:band form neutrophil:neuron:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:neutrophilic myeloblast:neutrophilic promyelocyte:neutrophil progenitor cell:neutrophilic metamyelocyte:|||:group 3 innate lymphoid cell:group 2 innate lymphoid cell:ILC1:oncocyte"
Neutrophil_Cebpe high(Bone-Marrow),"leukocyte:mesodermal cell:bone cell:|||:neutrophil:band form neutrophil:neuron:mature neutrophil:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:common myeloid progenitor, CD34-positive:common myeloid progenitor:neutrophilic promyelocyte:neutrophilic myeloblast:|||:group 3 innate lymphoid cell:group 2 innate lymphoid cell:ILC1:oncocyte"
Neutrophil_Elane high(Neonatal-Muscle),"cell of skeletal muscle:adaxial cell:|||:neutrophil:neuron:band form neutrophil:Kolmer-Agduhr neuron:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:neutrophil progenitor cell:neutrophilic metamyelocyte:neutrophilic myeloblast:neutrophilic myelocyte:|||:mesenchymal stem cell:oncocyte:common lymphoid progenitor:type I pneumocyte"
Neutrophil_Elane high(Neonatal-Rib),"adaxial cell:|||:neutrophil:band form neutrophil:neuron:Rohon-Beard neuron:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:neutrophilic myeloblast:neutrophil progenitor cell:neutrophilic metamyelocyte:neutrophilic myelocyte:|||:oncocyte:CD4-positive, alpha-beta intraepithelial T cell:alpha-beta intraepithelial T cell:early T lineage precursor"
Neutrophil_Fcnb high(Bone-Marrow),"leukocyte:mesodermal cell:bone cell:|||:neutrophil:band form neutrophil:neuron:mature neutrophil:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:neutrophilic promyelocyte:neutrophilic myeloblast:neutrophilic metamyelocyte:neutrophilic myelocyte:|||:bone marrow cell:oncocyte:CD4-positive, alpha-beta intraepithelial T cell:intraepithelial lymphocyte"
Neutrophil_Fcnb high(Bone-Marrow_c-kit),"leukocyte:mesodermal cell:bone cell:|||:neutrophil:band form neutrophil:neuron:mature neutrophil:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:neutrophilic promyelocyte:neutrophilic metamyelocyte:neutrophilic myelocyte:hypertrophic chondrocyte:|||:oncocyte:bone marrow cell:glial cell:early T lineage precursor"
Neutrophil_Hmox1 high(Neonatal-Muscle),"cell of skeletal muscle:adaxial cell:|||:neutrophil:neuron:band form neutrophil:Kolmer-Agduhr neuron:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:neutrophilic metamyelocyte:neutrophil progenitor cell:neutrophilic myeloblast:neutrophilic myelocyte:|||:mesenchymal stem cell:CD4-negative CD8-negative gamma-delta intraepithelial T cell:early T lineage precursor:common lymphoid progenitor"
Neutrophil_Ighg1 high(Bone-Marrow_c-kit),"leukocyte:mesodermal cell:bone cell:|||:neutrophil:band form neutrophil:neuron:mature neutrophil:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:neutrophilic promyelocyte:neutrophilic myelocyte:neutrophilic metamyelocyte:neutrophilic myeloblast:|||:oncocyte:bone marrow cell:CD8-alpha-beta-positive, alpha-beta intraepithelial T cell:intraepithelial lymphocyte"
Neutrophil_Il1b high(Peripheral_Blood),"vascular associated smooth muscle cell:mesodermal cell:|||:pigmented ciliary epithelial cell:neutrophil:band form neutrophil:neuron:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:neutrophilic myeloblast:neutrophilic promyelocyte:neutrophil progenitor cell:neutrophilic metamyelocyte:|||:ILC1:oncocyte:non-pigmented ciliary epithelial cell:alpha-beta intraepithelial T cell"
Neutrophil_Lcn2 high(Bone-Marrow_c-kit),"leukocyte:mesodermal cell:bone cell:|||:neutrophil:Langerhans cell:band form neutrophil:neuron:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:neutrophilic promyelocyte:neutrophilic metamyelocyte:neutrophilic myelocyte:hypertrophic chondrocyte:|||:group 2 innate lymphoid cell:oncocyte:bone marrow cell:early T lineage precursor"
Neutrophil_Ltf high(Bone-Marrow_c-kit),"leukocyte:mesodermal cell:bone cell:|||:neutrophil:band form neutrophil:neuron:mature neutrophil:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:neutrophilic promyelocyte:neutrophilic metamyelocyte:neutrophilic myelocyte:common myeloid progenitor, CD34-positive:|||:oncocyte:bone marrow cell:pericyte cell:glial cell"
Neutrophil_Ltf high(Peripheral_Blood),"vascular associated smooth muscle cell:mesodermal cell:|||:pigmented ciliary epithelial cell:neutrophil:band form neutrophil:neuron:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:neutrophilic myeloblast:neutrophil progenitor cell:neutrophilic promyelocyte:neurecto-epithelial cell:|||:oncocyte:CD8-alpha-beta-positive, alpha-beta intraepithelial T cell:glial cell:alpha-beta intraepithelial T cell"
Neutrophil_Mmp8 high(Bone-Marrow),"leukocyte:mesodermal cell:bone cell:|||:neutrophil:band form neutrophil:neuron:mature neutrophil:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:common myeloid progenitor:common myeloid progenitor, CD34-positive:neutrophil progenitor cell:neutrophilic promyelocyte:|||:oncocyte:bone marrow cell:non-pigmented ciliary epithelial cell:megakaryocyte-erythroid progenitor cell"
Neutrophil_Ngp high(Bone-Marrow),"leukocyte:mesodermal cell:bone cell:|||:neutrophil:band form neutrophil:neuron:mature neutrophil:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:common myeloid progenitor:common myeloid progenitor, CD34-positive:neutrophil progenitor cell:neutrophilic myeloblast:|||:oncocyte:bone marrow cell:pericyte cell:CD8-alpha-beta-positive, alpha-beta intraepithelial T cell"
Neutrophil_Ngp high(Bone-Marrow_c-kit),"leukocyte:mesodermal cell:bone cell:|||:neutrophil:band form neutrophil:neuron:mature neutrophil:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:neutrophilic promyelocyte:neutrophilic metamyelocyte:neutrophilic myelocyte:neutrophilic myeloblast:|||:oncocyte:bone marrow cell:early T lineage precursor:intraepithelial lymphocyte"
Neutrophil_Ngp high(Liver),"intrahepatic cholangiocyte:endothelial cell of hepatic sinusoid:epithelial cell of alimentary canal:mesodermal cell:|||:neutrophil:band form neutrophil:neuron:Rohon-Beard neuron:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:neutrophil progenitor cell:neutrophilic myelocyte:neutrophilic promyelocyte:neutrophilic myeloblast:|||:oncocyte:granulocyte monocyte progenitor cell:non-pigmented ciliary epithelial cell:eosinophil progenitor cell"
